gene_id	gene_name	ech01	ech02	ech03	ech04	ech05	ech06
GENE00001	arf4D	518	478	269	513	369	411
GENE00002	eef3B	0	0	0	0	0	0
GENE00003	rho6B	316	637	483	539	386	237
GENE00004	rho5B	2	3	2	2	3	2
GENE00005	aco3A	118	93	56	89	129	104
GENE00006	tbp6E	35	28	43	57	27	46
GENE00007	abc4B	11	13	16	14	17	9
GENE00008	gst3B	0	0	0	1	0	1
GENE00009	fbx4D	74	109	59	93	120	152
GENE00010	tub2E	112	102	103	421	492	574
GENE00011	ago6E	3	5	2	3	3	4
GENE00012	orc3B	1287	1490	1649	1662	1248	1137
GENE00013	abc1E	1	2	1	7	9	7
GENE00014	efl6D	82	147	116	636	983	1262
GENE00015	dna2D	1111	1090	1438	1904	1238	1089
GENE00016	atp1E	96	123	174	134	91	143
GENE00017	ago8E	2	3	2	3	0	2
GENE00018	eef7D	1	1	0	1	0	2
GENE00019	gst2C	0	3	1	2	3	1
GENE00020	atp1C	2	3	4	1	3	3
GENE00021	orc4C	14	12	16	13	14	9
GENE00022	lsm2A	1	0	2	4	0	1
GENE00023	pol8D	309	258	431	360	463	357
GENE00024	abc3C	3	4	2	2	3	4
GENE00025	eef6A	1500	1370	1599	1048	1107	773
GENE00026	cox5C	545	296	421	398	398	250
GENE00027	dna9B	89	135	153	66	80	136
GENE00028	ago3E	364	229	493	373	221	301
GENE00029	srp6A	9	15	12	12	11	15
GENE00030	bcl1D	0	0	0	0	0	0
GENE00031	arf9C	483	345	438	258	377	639
GENE00032	tub2D	3	3	2	2	2	2
GENE00033	cad3C	16	13	12	3	3	3
GENE00034	tub7D	37	47	54	30	42	44
GENE00035	ubq9B	280	353	453	1952	861	1159
GENE00036	arf4B	37	37	41	38	46	43
GENE00037	ubq2E	37	33	53	51	41	49
GENE00038	gst9C	23	41	49	124	159	242
GENE00039	orc8D	3	2	4	3	2	3
GENE00040	orc5E	441	482	417	269	476	303
GENE00041	arf9A	1111	1342	1863	1159	1728	1172
GENE00042	cbp9A	0	0	0	0	0	0
GENE00043	rad6A	1	0	1	1	0	2
GENE00044	cyp4D	0	0	0	0	0	0
GENE00045	adh5D	1654	1311	1414	1601	1370	1095
